id,AnnotaId,verb1_id,verb1,verb2_id,verb2,verb3_id,verb3,verb4_id,verb4,adj1_id,adj1,adj2_id,adj2,adj3_id,adj3,adj4_id,adj4,FileName,Sentiment
24391,150,SID-00691665-V,like,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379903020641.gif,-
24392,151,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379903144509.gif,+
24393,153,SID-00013615-V,play,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379903406550.gif,-
24394,156,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379903593978.gif,0
24395,157,SID-00014549-V,move,NULL,NULL,NULL,NULL,NULL,NULL,SID-01677623-A,one,NULL,NULL,NULL,NULL,NULL,NULL,1379903835900.gif,+
24396,7193,SID-02090990-V,slide,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1379918884165.gif,+
24397,165,SID-01894649-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,SID-01148283-A,happy,NULL,NULL,1379949217946.gif,+
24398,166,SID-00985464-V,cry,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1379949448877.gif,-
24399,167,SID-00121506-V,jump,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1379949532094.gif,+
24400,169,SID-01839538-V,ride,NULL,NULL,NULL,NULL,NULL,NULL,SID-02545023-A,funny,NULL,NULL,NULL,NULL,NULL,NULL,1379949929059.gif,+
24401,173,SID-01894649-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1379955288734.gif,+
24402,174,SID-01396524-V,hug,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1379958156444.gif,+
24403,175,SID-01431723-V,kiss,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1379963377767.gif,+
24404,176,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-02545023-A,funny,NULL,NULL,NULL,NULL,NULL,NULL,1379963558209.gif,+
24405,178,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-02545023-A,funny,NULL,NULL,NULL,NULL,NULL,NULL,1379991127460.gif,+
24406,181,SID-00860292-V,applaud,SID-01637982-V,find,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1379992781477.gif,0
24407,182,SID-00860292-V,applaud,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1379992783822.gif,+
24408,187,SID-01072949-V,play,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380018484940.gif,0
24409,188,NULL,NULL,NULL,NULL,SID-00028565-V,smile,NULL,NULL,SID-00971660-A,cool,SID-00167278-A,cute,NULL,NULL,NULL,NULL,1380018545249.gif,+
24410,189,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380019221255.gif,+
24411,190,SID-01166351-V,eat,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380019786310.gif,+
24412,191,SID-00334803-V,run,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380032162805.gif,+
24413,192,SID-01894649-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380032193476.gif,0
24414,193,SID-00066685-V,cry,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380032924452.gif,-
24415,194,NULL,NULL,NULL,NULL,SID-00714884-V,debate,NULL,NULL,SID-00217728-A,beautiful,SID-00971660-A,cool,NULL,NULL,SID-00113818-A,angry,1380033081620.gif,-
24416,200,SID-01431723-V,kiss,NULL,NULL,NULL,NULL,NULL,NULL,SID-01048406-A,happy,NULL,NULL,NULL,NULL,NULL,NULL,1380033345612.gif,+
24417,202,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380034048206.gif,+
24418,203,SID-00082081-V,help,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,1380046243690.gif,+
24419,204,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380046306111.gif,+
24420,205,NULL,NULL,NULL,NULL,SID-00328802-V,separate,NULL,NULL,SID-00217728-A,beautiful,SID-00971660-A,cool,NULL,NULL,NULL,NULL,1380046441197.gif,-
24421,206,SID-00028565-V,smile,NULL,NULL,SID-00028565-V,smile,NULL,NULL,SID-00971660-A,cool,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,1380046446729.gif,+
24422,207,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-01048406-A,happy,NULL,NULL,NULL,NULL,NULL,NULL,1380046510714.gif,+
24423,208,SID-01894649-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-02545023-A,funny,NULL,NULL,NULL,NULL,NULL,NULL,1380047780984.gif,+
24424,209,SID-00720063-V,wait,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380075679551.gif,0
24425,212,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,SID-00874092-A,physical,NULL,NULL,NULL,NULL,1380089684762.gif,+
24426,217,SID-00100044-V,train,NULL,NULL,NULL,NULL,NULL,NULL,SID-01824244-A,strong,NULL,NULL,NULL,NULL,NULL,NULL,1380090915578.gif,0
24427,219,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,SID-00971660-A,cool,NULL,NULL,NULL,NULL,1380103199925.gif,+
24428,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00152896-A,speaking,SID-00113818-A,angry,NULL,NULL,NULL,NULL,1380103641689.gif,-
24429,222,SID-01168468-V,eat,NULL,NULL,NULL,NULL,NULL,NULL,SID-00705891-A,delicate,NULL,NULL,NULL,NULL,NULL,NULL,1380103915426.gif,+
24430,229,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,SID-00193480-A,ugly,NULL,NULL,NULL,NULL,1380117054455.gif,-
24431,225,SID-00036178-V,wash,NULL,NULL,NULL,NULL,NULL,NULL,SID-00219809-A,lovely,NULL,NULL,NULL,NULL,NULL,NULL,1380117094623.gif,+
24432,228,SID-01166351-V,eat,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1380117104554.gif,+
24433,232,SID-00334803-V,run,NULL,NULL,NULL,NULL,NULL,NULL,SID-01128406-A,naughty,NULL,NULL,NULL,NULL,NULL,NULL,1380117409638.gif,+
24434,231,SID-00121506-V,jump,NULL,NULL,NULL,NULL,NULL,NULL,SID-01048406-A,happy,NULL,NULL,NULL,NULL,NULL,NULL,1380117975385.gif,+
24435,236,SID-01431723-V,kiss,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1380130563480.gif,+
24436,237,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,SID-02357479-A,surprised,NULL,NULL,NULL,NULL,1380131274938.gif,0
24437,239,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-01361863-A,sad,SID-01361863-A,sad,NULL,NULL,NULL,NULL,1380144516147.gif,-
24438,240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,SID-00981304-A,lazy,NULL,NULL,NULL,NULL,1380152393934.gif,+
24439,241,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380155048092.gif,+
24440,253,SID-01882170-V,walk,SID-00830761-V,talk,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380199968264.gif,0
24441,254,SID-02128653-V,watch,SID-02161922-V,focus,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380203109091.gif,0
24442,258,SID-01072949-V,play,SID-00014034-V,shake,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380215252137.gif,0
24443,7190,SID-00121506-V,jump,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380215675804.gif,+
24444,7191,SID-00759944-V,pray,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1380215761405.gif,0
24445,261,SID-01079873-V,play,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380244810913.gif,+
24446,262,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,SID-02131072-A,sexy,NULL,NULL,NULL,NULL,1380244813472.gif,+
24447,263,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380245203775.gif,+
24448,266,NULL,NULL,NULL,NULL,SID-00028565-V,smile,NULL,NULL,SID-00971660-A,cool,SID-00971660-A,cool,NULL,NULL,NULL,NULL,1380259951744.gif,+
24449,267,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380260533633.gif,+
24450,269,SID-00897125-V,greet,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380273747398.gif,+
24451,274,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380287879290.gif,+
24452,276,SID-02701445-V,sleep,SID-02701445-V,sleep,SID-01431723-V,kiss,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380288107151.gif,+
24453,278,SID-00177861-V,clean,NULL,NULL,NULL,NULL,NULL,NULL,SID-01598319-A,normal,NULL,NULL,NULL,NULL,NULL,NULL,1380290286481.gif,0
24454,286,SID-00196364-V,burn,SID-01198101-V,smoke,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380335347832.gif,+
24455,289,SID-01894649-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380338514463.gif,+
24456,290,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,SID-02357479-A,surprised,NULL,NULL,NULL,NULL,1380339359790.gif,+
24457,291,SID-01894649-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380339363331.gif,+
24458,292,SID-00147815-V,fall,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380353552148.gif,+
24459,295,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-01048406-A,happy,SID-01361863-A,sad,NULL,NULL,NULL,NULL,1380367958826.gif,-
24460,297,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380382026474.gif,+
24461,298,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00079629-A,scared,SID-00079629-A,scared,NULL,NULL,NULL,NULL,1380382210997.gif,-
24462,299,SID-00545292-V,fly,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380382372345.gif,+
24463,300,SID-00028565-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380382373943.gif,+
24464,301,SID-01166351-V,eat,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380382720286.gif,+
24465,304,SID-01894649-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-00971660-A,cool,NULL,NULL,NULL,NULL,NULL,NULL,1380388245968.gif,+
24466,306,NULL,NULL,NULL,NULL,SID-01396524-V,hug,NULL,NULL,SID-00217728-A,beautiful,SID-00971660-A,cool,NULL,NULL,NULL,NULL,1380390477819.gif,+
24467,307,SID-01079873-V,play,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380390525367.gif,+
24468,308,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,SID-02131072-A,sexy,NULL,NULL,NULL,NULL,1380417860893.gif,+
24469,310,SID-02099075-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-01459755-A,lovely,NULL,NULL,NULL,NULL,NULL,NULL,1380441217634.gif,+
24470,312,SID-02701445-V,sleep,NULL,NULL,NULL,NULL,NULL,NULL,SID-01459755-A,lovely,NULL,NULL,NULL,NULL,NULL,NULL,1380468959307.gif,+
24471,318,SID-00031820-V,laugh,SID-01237599-V,clap,NULL,NULL,NULL,NULL,SID-00220082-A,pretty,NULL,NULL,NULL,NULL,NULL,NULL,1380483859309.gif,+
24472,348,NULL,NULL,NULL,NULL,SID-00355177-V,kill,NULL,NULL,SID-00882580-A,small,SID-00842199-A,strong,NULL,NULL,NULL,NULL,1380508085045.gif,0
24473,320,SID-02191546-V,taste,SID-01780104-V,frighten,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380510432426.gif,+
24474,321,SID-00071803-V,pull,NULL,NULL,NULL,NULL,NULL,NULL,SID-01459755-A,lovely,NULL,NULL,NULL,NULL,NULL,NULL,1380510604846.gif,0
24475,323,SID-02099075-V,dance,NULL,NULL,NULL,NULL,NULL,NULL,SID-00217728-A,beautiful,NULL,NULL,NULL,NULL,NULL,NULL,1380511642581.gif,+
24476,324,SID-00034758-V,pout,SID-01067512-V,smile,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1380514199219.gif,+
24477,325,SID-01781983-V,panic,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380520701965.gif,+
24478,333,SID-01446901-V,wave,NULL,NULL,NULL,NULL,NULL,NULL,SID-00966357-A,old,NULL,NULL,NULL,NULL,NULL,NULL,1380533475133.gif,0
24479,336,SID-00031820-V,laugh,NULL,NULL,NULL,NULL,NULL,NULL,SID-00167278-A,cute,NULL,NULL,NULL,NULL,NULL,NULL,1380534849913.gif,+
